RANK,TEAM,OPPONENTS' COMBINED 2021 RECORD,OPPONENTS' COMBINED 2021 WIN PERCENTAGE,CBSRank
1,LAR,164-125-0,0.567,1
2,Arizona,157-132-0,0.543,2
3,Cincinnati,154-133-2,0.536,3
4,TB,154-134-1,0.535,4
5,SF,154-135-0,0.533,5
5,KC,154-135-0,0.533,5
7,LV,152-136-1,0.528,7
7,NO,152-136-1,0.528,7
9,Atlanta,151-137-1,0.524,9
10,LAC,150-139-0,0.519,10
11,Seattle,149-139-1,0.517,11
12,Pittsburgh,148-141-0,0.512,12
12,Carolina,147-140-2,0.512,12
12,Buffalo,147-140-2,0.512,12
15,Denver,147-142-0,0.509,15
16,NE,143-144-2,0.498,16
17,NYJ,142-145-2,0.495,17
17,Cleveland,142-145-2,0.495,17
19,Houston,141-148-0,0.488,19
20,Minnesota,139-148-2,0.484,20
21,Miami,138-149-2,0.481,21
22,GB,137-150-2,0.478,22
23,Baltimore,136-151-2,0.474,23
24,Chicago,135-152-2,0.471,24
24,Tennessee,136-153-0,0.471,24
26,Jacksonville,135-153-1,0.469,26
26,Indianapolis,135-153-1,0.469,26
28,Detroit,135-154-0,0.467,28
29,NYG,134-154-1,0.465,29
30,Philadelphia,133-154-2,0.464,30
31,Washington,133-155-1,0.462,31
31,Dallas,133-155-1,0.462,31
