Team,Team,Rank,,
Arizona,ARI,31,,
Atlanta,ATL,20,,
Baltimore,BAL,21,,
Buffalo,BUF,26,,
Carolina,CAR,14,,
Chicago,CHI,32,,
Cincinnati,CIN,15,,
Cleveland,CLE,5,,
Dallas,DAL,2,,
Denver,DEN,17,,
Detroit,DET,9,,
GB,GB,18,,
Houston,HOU,23,,
Indianapolis,IND,13,,
Jacksonville,JAC,27,,
KC,KC,7,,
LAC,LAC,4,,
LAR,LAR,10,,
LV,LV,22,,
Miami,MIA,24,,
Minnesota,MIN,19,,
NE,NE,6,,
NO,NO,25,,
NYG,NYG,11,,
NYJ,NYJ,12,,
Philadelphia,PHI,1,,
Pittsburgh,PIT,28,,
Seattle,SEA,29,,
SF,SF,16,,
TB,TB,3,,
Tennessee,TEN,30,,
Washington,WAS,8,,
