Team,PFF,FP,The Athletic,Average,Ranking
PHI,1,1,3,1.7,1
CLE,2,5,13,3.5,2
TB,4,3,1,3.5,3
DAL,6,2,9,4.0,4
DET,3,9,15,6.0,5
NE,7,6,5,6.5,6
KC,9,7,4,8.0,7
LAC,12,4,2,8.0,8
LAR,11,10,7,10.5,9
IND,10,13,23,11.5,10
GB,5,18,10,11.5,11
WAS,15,8,18,11.5,12
CIN,8,15,25,11.5,13
NYJ,13,12,28,12.5,14
NYG,18,11,19,14.5,15
SF,14,16,17,15.0,16
DEN,16,17,14,16.5,17
CAR,24,14,22,19.0,18
BAL,17,21,21,19.0,19
MIN,19,19,16,19.0,20
HOU,22,23,0,22.5,21
NO,21,25,27,23.0,22
BUF,20,26,11,23.0,23
MIA,23,24,20,23.5,24
ATL,28,20,30,24.0,25
LV,29,22,26,25.5,26
JAC,26,27,8,26.5,27
ARI,25,31,6,28.0,28
TEN,27,30,29,28.5,29
PIT,30,28,12,29.0,30
SEA,32,29,24,30.5,31
CHI,31,32,31,31.5,32
